********************************************************************************
LOGGING TIME: 20160410_075758
CLIENT IP: 192.168.56.1
USERNAME: Arvind
OS: Windows 8
ARCHITECTURE: amd64
VERSION: 6.2
RESOLUTION: 1366.0 768.0
********************************************************************************
MR, 1, 1460288880749
MC, 1, 0
MM, 317.842, 463.938, 12
MM, 317.352, 464.138, 12
MM, 316.639, 464.859, 12
MM, 317.043, 465.017, 38
MM, 317.305, 465.119, 12
MM, 316.860, 465.945, 13
MM, 315.777, 466.913, 12
MM, 316.182, 467.071, 12
MM, 315.862, 467.946, 25
MM, 316.182, 468.071, 24
MM, 315.697, 468.881, 38
MM, 315.303, 469.119, 12
MM, 314.826, 469.932, 12
MM, 314.818, 470.929, 24
MM, 315.143, 471.056, 13
MM, 314.845, 471.939, 37
MM, 315.188, 472.074, 12
MM, 314.784, 472.915, 13
MM, 315.216, 473.084, 12
MM, 314.920, 473.969, 13
MM, 314.845, 474.939, 12
MM, 315.136, 476.053, 12
MM, 314.857, 477.944, 13
MM, 315.166, 479.065, 12
MM, 315.142, 480.055, 12
MM, 314.773, 480.911, 12
MM, 315.257, 481.100, 14
MM, 314.957, 481.983, 12
MM, 314.721, 482.891, 12
MM, 315.274, 483.107, 12
MM, 315.215, 484.084, 25
MM, 314.761, 484.906, 13
MM, 315.242, 485.095, 12
MM, 314.939, 485.976, 12
MM, 314.720, 486.890, 13
MM, 315.303, 487.119, 12
MM, 315.037, 488.014, 13
MM, 314.670, 488.871, 11
MM, 315.323, 489.126, 14
MM, 315.040, 490.016, 12
MM, 314.734, 490.896, 12
MM, 315.224, 491.088, 12
MM, 314.819, 491.929, 13
MM, 315.156, 492.061, 12
MM, 313.848, 492.940, 12
MM, 314.177, 493.069, 24
MM, 312.818, 493.929, 13
MM, 313.146, 494.057, 24
MM, 311.891, 494.957, 13
MM, 312.076, 495.030, 12
MM, 311.963, 494.986, 25
MM, 311.038, 495.015, 25
MM, 310.925, 494.971, 37
MM, 310.229, 495.090, 172
MM, 309.306, 495.120, 99
MM, 309.066, 495.026, 50
MP, 1, 890
MR, 1, 124
MC, 1, 0
MM, 313.962, 501.750, 0
MM, 307.505, 504.666, 12
MM, 300.838, 507.670, 13
MM, 293.630, 511.266, 12
MM, 286.544, 514.708, 12
MM, 274.973, 521.290, 13
MM, 260.264, 530.276, 12
MM, 250.351, 535.848, 12
MM, 243.157, 539.454, 12
MM, 237.667, 541.592, 13
MM, 232.392, 543.644, 12
MM, 226.482, 546.218, 12
MM, 221.639, 547.843, 13
MM, 217.930, 548.816, 12
MM, 181.605, 520.456, 21152
MM, 192.755, 511.815, 16
MM, 212.164, 497.617, 18
MM, 238.787, 479.346, 16
MM, 291.260, 444.689, 15
MM, 316.902, 436.173, 21
MM, 335.354, 430.266, 13
MM, 351.545, 426.164, 13
MM, 368.742, 419.806, 11
MM, 384.181, 415.383, 13
MM, 395.716, 413.033, 12
MM, 409.683, 408.515, 12
MM, 423.032, 404.777, 13
MM, 452.142, 389.354, 16
MM, 463.712, 382.536, 15
MM, 471.404, 375.551, 16
MM, 484.676, 364.756, 16
MM, 491.467, 360.351, 23
MM, 499.175, 355.132, 9
MM, 505.670, 350.751, 16
MM, 521.638, 337.727, 15
MM, 527.288, 331.217, 16
MM, 531.789, 325.841, 16
MM, 536.176, 321.133, 15
MM, 537.809, 318.856, 12
MM, 539.226, 317.171, 11
MM, 539.713, 316.784, 16
MM, 540.116, 317.087, 275
MM, 540.247, 317.186, 15
MM, 539.758, 317.818, 16
MM, 539.902, 317.926, 15
MP, 1, 60
MR, 1, 115
MC, 1, 0
MM, 540.000, 319.000, 0
MM, 536.428, 327.295, 16
MM, 526.650, 347.708, 15
MM, 506.929, 397.256, 16
MM, 480.953, 461.539, 15
MM, 443.753, 532.500, 13
MM, 416.988, 593.404, 11
MM, 397.366, 637.719, 12
MM, 379.672, 670.471, 13
MM, 368.216, 689.362, 12
MM, 361.204, 698.973, 13
MM, 358.587, 701.924, 12
MM, 357.715, 702.907, 13
MM, 357.715, 702.907, 12
MM, 357.765, 700.290, 12
MM, 357.831, 696.801, 13
MM, 356.087, 698.768, 1915
MM, 350.853, 704.668, 13
MM, 343.002, 713.519, 12
MM, 334.263, 724.226, 13
MM, 326.413, 733.076, 12
MM, 311.567, 750.667, 12
MM, 294.994, 769.351, 13
MM, 284.510, 782.025, 12
MM, 277.531, 789.892, 12
MM, 270.520, 799.504, 13
MM, 265.286, 805.404, 12
MM, 259.164, 813.161, 13
MM, 254.786, 818.950, 12
MM, 249.535, 825.723, 13
MM, 246.919, 828.673, 11
MM, 246.935, 827.801, 48863
MM, 247.857, 824.200, 16
MM, 251.429, 815.905, 18
MM, 255.874, 806.627, 12
MM, 262.096, 793.637, 13
MM, 279.873, 756.523, 12
MM, 301.206, 711.986, 13
MM, 318.028, 680.217, 12
MM, 333.039, 653.904, 13
MM, 355.934, 616.996, 12
MM, 376.179, 584.782, 12
MM, 388.557, 562.291, 13
MM, 399.174, 542.640, 11
MM, 415.024, 517.088, 13
MM, 429.953, 495.136, 13
MM, 441.359, 478.862, 12
MM, 450.131, 466.412, 12
MM, 457.982, 457.561, 13
